Article_id,Title,Description,Date,Category,URL
58,Uddhav-led delegation to meet PM today over Maratha quota,"Home Minister Dilip Walse Patil said that the delegation, which comprises the Chief Minister, Deputy CM Ajit Pawar, PWD Minister Ashok Chavan who is also chairman of the cabinet sub-committee on Maratha quota, and Chief Secretary Sitaram Kunte, will meet the PM on Tuesday.","June 8, 2021  7:26:19 am",India,https://indianexpress.com/article/india/maratha-quota-uddhav-led-team-to-meet-pm-modi-today-7348696/
59,Centre issues SOPs for states for global travel,"The Union Health Ministry issued standard operating procedures (SOPs) for vaccination of people undertaking international travel for educational or employment, or as part of the national contingent for Tokyo Olympics.","June 8, 2021  3:46:38 am",India,https://indianexpress.com/article/india/centre-issues-sop-to-administer-2nd-dose-of-covishield-before-84-days-7348434/
60,"After adverse reaction, a change in dose: Free Covid vaccines for all, only Centre to procure","In an address to the nation, the Prime Minister said the Centre will buy 75 per cent of doses from vaccine makers, including 25 per cent of the state quota, and give it for free to state governments. No state government, he said, will have to spend on vaccine procurement.","June 8, 2021  7:45:17 am",India,https://indianexpress.com/article/india/pm-narendra-modi-address-free-jabs-centre-to-procure-covid-vaccines-7348171/
61,"Students travelling abroad get second dose of Covishield at special camps in Vadodara, Surat","The VMC had set up a special centre at the nursing college, where students who had pre-registered on the VMC portal for taking the second dose due to their special case, gathered to get the jab.","June 8, 2021 12:13:05 am",India,https://indianexpress.com/article/india/students-travelling-abroad-get-second-dose-of-covishield-at-special-camps-in-vadodara-surat-7348597/
62,"Monsoon to intensify from June 10, bring heavy rain over Vidarbha, central and East India, Northeast: IMD","The Met department on Monday said the enhanced rainfall activity will be associated with the formation of the monsoon's first low pressure system over North Bay of Bengal, expected around June 11.","June 7, 2021 10:59:18 pm",India,https://indianexpress.com/article/india/monsoon-to-intensify-from-june-10-bring-heavy-rain-over-vidarbha-central-and-east-india-northeast-imd-7348491/
63,"Vaccine policy change: Opposition welcomes move, says result of SC order","Last week, the apex court had asked the government for a vaccine roadmap and said its existing policy was “prima facie arbitrary and irrational”.","June 7, 2021  10:48:16 pm",India,https://indianexpress.com/article/india/narendra-modi-covid-vaccine-policy-opposition-7348416/
64,"Maharashtra reports 10,219 Covid cases, 154 deaths; Mumbai’s daily count at 728","The Maharashtra government has announced a five-level plan to relax the coronavirus-induced restrictions in the state, based on the weekly positivity rate and the occupancy of oxygen beds","June 7, 2021 10:00:45 pm",India,https://indianexpress.com/article/india/maharashtra-mumbai-covid-cases-death-june-7-7348361/
65,"95% seropositivity after two doses of Covishield, Covaxin in 515 healthcare workers: Study","Dr Awadesh Kumar, lead researcher of the study from GD Singh Hospital and Diabetes Institute, said the study found that both vaccines were equally good and could produce high antibodies even after a single shot.","June 7, 2021 9:45:12 pm",India,https://indianexpress.com/article/india/covishield-covaxin-covid-vaccines-research-7348402/
66,"Underwater protests, 12 hour fast by residents of Lakshadweep demanding recall of Administrator","In Kochi, United Democratic Front parliamentarians from Kerala staged a protest in front of the Lakshadweep Administrator's Office in solidarity with the protestors, demanding withdrawal of the proposed ""anti-people laws"" by the union government.
","June 7, 2021  9:24:46 pm",India,https://indianexpress.com/article/india/underwater-protests-12-hour-fast-by-residents-of-lakshadweep-demanding-recall-of-administrator-7348358/
67,Teachers in Tamil Nadu welcome govt’s decision to cancel state board exams,"Dr. Pannerselvam, a psychiatrist at Sneha Mincare Centre in Tirunelveli, said he was also happy with the move because the current scenario was not conducive to asking students to sit for examinations.","June 7, 2021  9:15:52 pm",India,https://indianexpress.com/article/india/teachers-in-tamil-nadu-welcome-govts-decision-to-cancel-state-board-exams-7348314/
68,Punjab students going abroad will get vaccine on priority: Captain Amarinder Singh,"Besides students seeking to go abroad, caregivers of elderly persons and other urgent priority groups may be included in this list, he added.","June 7, 2021  8:51:51 pm",India,https://indianexpress.com/article/india/punjab-students-going-abroad-will-get-vaccine-on-priority-captain-amarinder-singh-7348325/
69,"Whenever there is crisis, Modi leads from the front: BJP on PM’s vaccine announcement","Expressing gratitude to the prime minister, BJP president J P Nadda in a series of tweets said the Modi government stands with every countryman in the fight against the coronavirus.","June 7, 2021 8:41:36 pm",India,https://indianexpress.com/article/india/modi-bjp-covid-vaccine-7348323/
70,"Dera chief Gurmeet Ram Rahim Singh in Gurgaon hospital, Honeypreet joins him as attendant","While the sedition charge was later dropped, but Honeypreet continues to face charges of criminal conspiracy besides various other provisions of Indian Penal Code including Sections 145, 146, 150, 152 and 120-B.","June 7, 2021 8:11:50 pm",India,https://indianexpress.com/article/india/dera-chief-in-gurgaon-hospital-honeypreet-joins-him-as-attendant-7348283/
